"temps_cpu","x"
0.011716127395629883,10
0.011838674545288086,12
0.008773565292358398,13
0.01573014259338379,14
0.008990287780761719,15
0.013075590133666992,20
0.01782965660095215,50
0.03636884689331055,100
0.6263279914855957,500
2.633110523223877,1000
9.650469303131104,2000
21.80783200263977,3000
57.605441093444824,5000
150.3262882232666,8000
243.67986965179443,10000
530.4037210941315,15000
926.5994005203247,20000
